meanR,meanG,meanB,stdR,stdG,stdB,skewR,skewG,skewB,kurtR,kurtG,kurtB,kelas
247.72434326171876,246.56698486328125,244.6035009765625,30.313839245275773,33.9986667555228,41.37604453044477,-4.726862837460114,-4.284871910827251,-4.072430942373216,23.666457232520855,18.33599231688034,15.694549673467026,matang
248.0352197265625,246.92594970703124,244.6932763671875,28.788265038150488,32.272133082320686,40.72132256008837,-4.800852130635286,-4.3259022352144365,-4.085219128330554,24.948817584876487,19.008085955635185,15.867277839049436,matang
247.52744873046876,245.92834716796875,242.97274169921874,28.97166725273391,34.405878462920484,45.44287372208934,-4.2190451837418,-3.913116030651339,-3.7834119436312097,18.450648198661227,14.785774642471207,13.033463914650184,matang
249.654208984375,248.065078125,245.25803955078126,23.35972603957129,29.08010157833699,40.016575057840235,-5.199112882217174,-4.607837274897508,-4.245920261583088,29.777197165719862,21.697090209941635,17.06587685708329,matang
250.1486474609375,248.72404052734376,246.56212890625,23.098929849288616,28.531253699724516,37.24879372730927,-5.760806187754891,-5.088622025275869,-4.679798980139091,36.15898489152211,26.54197322298966,21.313652884739277,matang
247.091884765625,245.8767822265625,244.05348388671874,32.65952001514312,37.17459010414988,44.0635168690425,-4.390957042286905,-4.175031797125677,-4.012752873680319,19.411653309691825,16.75061251689894,14.861702816818184,matang
249.53475341796874,248.194716796875,245.65479248046876,24.95192483441161,29.98022916912206,39.54136733465648,-5.391008691964917,-4.868513386236368,-4.408908218436125,31.4024665934789,24.17144765528386,18.735487566039065,matang
246.1685009765625,244.9685107421875,242.8128271484375,34.12364703703868,38.2046932146033,46.03701450577445,-4.031361632539533,-3.8413271240625946,-3.7273157525816445,15.938830806133353,13.860295847469512,12.552987777405356,matang
244.930849609375,243.160791015625,239.54214599609375,34.68154507529062,39.80235877951655,51.576474868372145,-3.59572601370251,-3.335366180617315,-3.2261641784645065,12.444236289493233,10.013366323762119,8.88070390907454,matang
248.17542724609376,245.369111328125,242.42020751953126,26.411326512548005,36.569600165185186,46.98863185691897,-4.05758491373157,-3.765870358577719,-3.5862383788525305,16.490248722220752,13.057812338205661,11.207688428084456,matang
243.4836328125,241.333720703125,236.74210693359376,36.347976776003975,41.781454838037064,55.42493782464277,-3.314621900668226,-3.0018194214630123,-2.887816350658464,10.465593737755603,7.821007752757241,6.727718409406915,matang
245.19839599609375,243.82389892578124,240.495302734375,35.72601580006792,39.684404673013596,51.04463739936421,-3.8243545047650502,-3.524753959300818,-3.4020852520754032,14.24121127070681,11.293068411047754,9.996891667967855,matang
244.96702880859374,243.85376953125,241.34215087890624,37.49728856486749,40.742491201523976,49.25626983272949,-3.9092644494862463,-3.6579915332688993,-3.4963397860613377,14.866609218036071,12.352846027785793,10.691085211769439,matang
247.59830810546876,246.65088134765625,244.85378173828124,31.555267868344277,34.84047551114028,42.06949009299714,-4.496839096334126,-4.220700630487936,-4.125200396859671,20.169396132444305,16.970337563638402,15.761673104024844,matang
247.92722412109376,246.80811279296876,244.54573974609374,29.84036751216872,33.814635923511304,43.003209167409146,-4.494674297781207,-4.198376573691131,-4.105033389592837,20.5079451012738,16.90920154595826,15.570613912875416,matang
244.24664794921875,242.0765966796875,237.641435546875,35.68527545119174,41.85648701239717,55.9951107475171,-3.407377265607381,-3.135178602036841,-3.0636322164015164,11.05559089875084,8.520121226579235,7.734937402427956,matang
245.380341796875,243.43869140625,239.60895751953126,34.218424346058434,40.29886513656922,53.27784541301091,-3.6430606777278953,-3.3981914398654274,-3.309857924489243,12.670527228690226,10.229528451119075,9.302165389045372,matang
242.93903076171875,240.25038330078124,235.87835693359375,37.51463205472236,44.67084267891188,57.32088969005041,-3.215103043098694,-2.9274877629301836,-2.8164670378369387,9.795203532284287,7.259898593824717,6.30051117336461,matang
243.35087158203126,240.9802978515625,237.50954345703124,37.68718933811784,44.26056219403001,54.48583501715078,-3.3654288030419317,-3.0904193699411326,-2.9594106663387865,10.819273808578249,8.322341298804227,7.195686708076893,matang
248.39213623046874,245.80286865234376,243.00268798828125,26.50446373404104,36.216128559594175,46.31676784380982,-4.247787736650514,-3.9517175501679382,-3.7308179725245267,18.265633477016728,14.636645723160559,12.307981982959419,matang
245.923916015625,244.15796630859376,241.7866259765625,34.414480769262596,40.10058831084426,48.08287552540661,-4.026262308047963,-3.7186212547291992,-3.5395770964815063,16.088685895449306,12.84949278386771,11.070237025219239,matang
245.997861328125,244.43671142578125,242.22650390625,34.95129933928361,40.12633660188307,47.75450516300288,-4.102790454882234,-3.827418745557006,-3.651700644314844,16.66356970361006,13.70005725491237,11.900327401434403,matang
244.5130029296875,242.5714404296875,239.6026171875,36.59345733852322,42.373850449647215,51.74928839699774,-3.6722700695773107,-3.4023332015761625,-3.251462724647279,13.12288551231601,10.509160253231478,9.097445250087816,matang
243.864091796875,242.0814794921875,239.30225830078126,38.15219791464362,43.633066743424116,52.52272131816578,-3.474881477496762,-3.3013017095181953,-3.1968540781718184,11.292473498735163,9.62999403986205,8.638771868359035,matang
245.0966357421875,243.131201171875,239.492578125,34.758223684212766,41.0849502593711,53.32988651311485,-3.555758031271569,-3.375599160456807,-3.2868108609879787,11.906743832038675,10.088140624849686,9.149299182785022,matang
247.59000244140626,245.8983642578125,243.11627197265625,30.044973128673767,36.15760534219819,46.890503101601965,-4.257032323080018,-3.96456479908676,-3.8624131521827954,18.100843276847286,14.652016539659485,13.396736460478447,matang
242.99485595703126,240.60254150390625,236.9447900390625,38.778307709746564,45.386708123661876,56.38566438510126,-3.327422790538035,-3.0542635402039324,-2.954522381972956,10.486749272005783,8.026544369914168,7.118771291202977,matang
242.07150634765625,239.74554931640625,236.2712646484375,40.959868610009906,47.051496819911605,57.11644949737181,-3.276976307219899,-2.999141646943949,-2.8809516550361103,10.1451967071766,7.748898522900928,6.718402953412609,matang
244.36227783203125,242.58283935546876,239.7277197265625,37.90480807215968,43.10019851753077,52.332695840004085,-3.74063323712804,-3.448033234760428,-3.304242295583711,13.642359244171502,10.80735894396602,9.407942010950485,matang
242.45977294921875,240.6136083984375,237.24470947265624,40.436525695217796,45.37442275768081,55.55728987795014,-3.300016633938306,-3.064183748944319,-2.9698247176449395,10.217599189832415,8.135498207741328,7.245026673526494,matang
242.86784912109374,240.8321044921875,237.346044921875,39.10602281020053,44.6065526095419,55.30037525109609,-3.2974953070707596,-3.0437581825267506,-2.9694163892692775,10.234434818399787,7.976527949832102,7.225462084797153,matang
247.14736572265625,245.594072265625,242.65243408203125,31.09079743588536,36.260586654789044,47.33993359394119,-4.211464327424874,-3.8672893371950465,-3.7663998037092363,17.938091197278595,14.052904310232766,12.739139928772673,matang
246.34949951171876,244.25895263671876,240.24412353515626,29.63687436723509,35.21245759111616,47.78912879458756,-3.7850741829720316,-3.3014080873062666,-3.138731653790127,14.811279585189528,10.02593291351431,8.377565854215213,matang
245.90206787109375,244.14935791015625,240.8381396484375,33.003974837872306,38.24230518148169,49.47563599475976,-3.8302919255816366,-3.4764410032800988,-3.3543858158275506,14.595766782813666,10.952233603555875,9.65464760996939,matang
